,Age,Gender,TotYrsOfExp,MainTech,AnualSalary
391,30,Male,2,Python,
392,37,Male,20,,125000
393,30,Male,5,C,14712
394,33,Male,5,,65000
395,35,Male,11,Java,
396,37,Male,15,Java,60000
397,36,Male,10,Java/Scala,78000
398,32,Female,4,Python,76000
399,38,Male,5,,70000
400,23,Male,4,Javascript,58000
401,39,Male,11,PHP,75000
402,27,Female,3,Python,55000
403,50,Male,29,C++,28800
404,35,Female,15,,
405,40,Male,10,,
406,35,Male,11,python,53000
407,29,Male,10,Ruby,
408,30,Male,8,Swift,60000
409,24,Male,3,JavaScript,44000
410,28,Male,8,Java,
411,28,Male,9,PHP,45000
412,37,Female,2,,
413,37,Male,8,Python ,70000
414,33,Male,10,,70000
415,30,Male,8,Web developer,27000
416,30,Male,4,JavaScript/Typescript,
417,31,Male,4,Java,89000
418,,Male,4,Java,56000
419,28,Female,3,Javascript,55000
420,31,Female,2,Java,26000
421,34,Male,9,Android,65000
422,24,Male,4,PHP,42000
423,39,Male,15,Python,70000
424,42,Male,20,.NET,75000
425,26,Male,8,"TypeScript, React",85000
426,31,Female,2,,
427,32,Female,7,Kotlin,55000
428,30,Female,4,,
429,23,Male,3,Swift,
430,27,Female,3,,
431,27,Male,4,python,40000
432,27,Male,5,Python / JavaScript (React),75000
433,29,Male,8,JavaScript / typescript,
434,32,Male,10,Java,86000
435,31,Male,11,Terraform,75000
436,29,Male,2,JavaScript,16000
437,26,Male,7,SQL,
438,29,Male,5,PHP,
439,30,Male,7,JavaScript,
440,38,Male,10,Swift,70000
441,32,Male,10,JAVA,
442,25,Male,6,Apache Spark,73000
443,24,Male,3,C#,
444,24,Male,3,Java,28800
445,27,Male,3,.NET,16560
446,34,Female,6,Ruby,61400
447,30,Male,2,python,41000
448,27,Female,2,JavaScript,50000
449,46,Male,23,C#,76000
450,48,Male,,"Computer Networking,  Network Security ",
451,42,Female,12,Java,39000
452,40,Female,8,C#,54000
453,23,Male,5,Javascript,
454,33,Male,,Java,78000
455,30,Male,2,Elixir,18000
456,40,Male,11,SAP BW / ABAP,72000
457,38,Male,10,"Go, PHP, SQL",
458,28,Male,5,Swift,30000
459,38,Male,16,ABAP,80000
460,32,Male,12,Java,65000
461,33,Female,6,java,54000
462,34,Male,13,Kotlin ,
463,35,Female,9,Jira,60000
464,37,Male,9,Qml,60000
465,40,Male,14,C,
466,33,Male,10,PHP,84000
467,36,Male,15,AWS,73000
468,31,Female,,,
469,27,Male,5,C#/.NET,45000
470,28,Male,6,PHP,60000
471,23,Male,4,PHP,
472,31,Female,11,JS,55000
473,,,,,
474,34,Male,12,PHP,
475,34,Male,10,.Net,55000
476,29,Male,7,Android,65000
477,38,Male,15,Javascript,78000
478,25,Female,4,Javascript / Typescript,
479,28,Male,6,JavaScript,
480,23,Male,3,JavaScript,52000
481,30,Male,10,.NET,75000
482,32,Male,10,JavaScript,78000
483,28,Male,2,JavaScript,46000
484,31,Male,4,python,50000
485,29,Male,6,,54000
486,40,Female,"1,5",JavaScript ,40000
487,42,Male,17,Go,73000
488,40,Male,13,,75000
489,27,Male,6,Java,94000
490,29,Male,8,PHP,66000
491,37,Male,18,Go,156000
492,23,Male,5,Python,
493,35,Male,14,Java,69300
494,39,Male,11,Python ,130000
495,33,Male,10,C#,
496,31,Male,10,Python,
497,38,Male,15,Python,80000
498,31,Male,3,Python ,65000
499,24,Male,1,Python,48000
500,26,Female,2,Python,
501,30,Male,10,Java,70000
502,33,Male,9,Java,100000
503,33,Male,11,Python,
504,31,Male,10,Swift,64000
505,33,Male,2,Python,54000
506,43,Male,21,Java,63000
507,36,Male,14,Javascript,70000
508,33,Male,9,Javascript / Typescript,60000
509,36,Female,1,java,58000
510,27,Female,1,"Kotlin, Java",50000
511,33,Male,12,Go,104000
512,33,Male,2,SQL,50000
513,40,Male,11,Python,60000
514,24,Female,2,,
515,40,Male,17,Linux Kernel,81000
516,37,Male,13,,60000
517,35,Male,6,Javascript,
518,39,Male,7,several,65000
519,25,Male,6,Java,60000
520,27,Male,4,C#,
521,30,Male,3,,
522,28,Male,4,Python ,70000
523,36,Female,10,javascript,40000
524,29,Female,9,Java,60000
525,37,Male,3,Python,
526,34,Male,10,Android/Kotlin,
527,28,Female,4,Python,56000
528,39,Male,20,embedded,118000
529,,Male,15,Java,
530,,Male,,JavaScript,
531,32,Male,6,PHP,
532,37,Male,6,Java/Groovy,67100
533,32,Male,7,Python ,65000
534,28,Male,4,,45000
535,35,Male,16,PHP,79000
536,26,Male,5,Python ,55000
537,32,Male,7,Typescript,
538,29,Male,5,Python,55000
539,36,Male,10,typescript,80000
540,26,Male,5,Swift,65000
541,28,Male,5,Scala,60000
542,36,Male,5,python,
543,40,Male,18,java,160000
544,29,Male,4,Python + SQL,35000
545,32,Male,10,javascript,65000
546,28,Male,5,Java,52000
547,27,Male,7,Go,75000
548,33,Male,16,Java,80000
